[GIN] 2023/03/06 - 21:06:50 | 200 |     483.102µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:50 | 200 |     462.703µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:51 | 200 |     525.102µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:51 | 200 |     658.503µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:51 | 200 |     818.104µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:51 | 200 |     442.803µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:51 | 200 |     466.102µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:51 | 200 |     490.503µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:51 | 200 |     688.004µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:51 | 200 |     617.603µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:51 | 200 |     450.903µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:51 | 200 |     498.603µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:51 | 200 |     486.203µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:51 | 200 |     458.502µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:51 | 200 |     480.602µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:51 | 200 |     627.803µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:51 | 200 |     575.803µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:51 | 200 |     501.903µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:51 | 200 |     467.602µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:51 | 200 |     481.503µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:51 | 200 |     494.002µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:51 | 200 |     467.102µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:51 | 200 |     552.902µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:52 | 200 |     515.002µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:52 | 200 |     575.503µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:52 | 200 |     665.203µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:52 | 200 |     471.602µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:52 | 200 |     439.302µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:52 | 200 |     352.502µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:52 | 200 |     367.402µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:52 | 200 |     427.002µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:52 | 200 |     435.702µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:52 | 200 |     446.802µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:52 | 200 |     488.602µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:52 | 200 |     548.302µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:52 | 200 |     575.103µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:52 | 200 |     365.602µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:06:52 | 200 |     432.402µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:31 | 200 |       108.7µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:31 | 200 |          41µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:31 | 200 |        49.8µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:31 | 200 |        55.2µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:31 | 200 |      64.701µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:31 | 200 |        75.2µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:31 | 200 |      45.301µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:31 | 200 |          56µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:31 | 200 |      43.301µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:31 | 200 |        43.3µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:31 | 200 |        44.9µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:31 | 200 |        82.1µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:31 | 200 |      40.601µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:32 | 200 |        43.9µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:32 | 200 |      42.701µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:32 | 200 |          43µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:32 | 200 |        40.7µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:32 | 200 |        39.4µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:32 | 200 |        60.2µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:32 | 200 |        43.5µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:32 | 200 |        42.5µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:32 | 200 |        41.4µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:32 | 200 |        44.1µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:32 | 200 |      63.201µs |     94.1.65.222 | GET      "/health"
